ID,Aircraft Type,Operator,Operator Country,Status,Build Date,Build Country,First Customer Delivery Date,Delivery Date Operator,Nr. of Engines,Engine Manufacturer,Engine Type,Config (Pax/Con),Seat Total,Haul,Range (km),Age (Years),Main Hub,current_technology,operator_economic_weight,operator_environmental_weight,free_ets_allocation,peer_influence,investment_logic,decision_attitude,registration,icao24,annual_flights_base,annual_distance_km_base,mean_stage_length_km_base,fuel_burn_per_year_base,baseline_energy_demand,data_source
454,A333,DHL,Germany,Active,2013-11-01,France,2013-12-01,2021-10-01,2.0,Rolls-Royce,RR Trent 700,Cargo,0.0,Long-haul,11750.0,9.2,Leipzig,kerosene_freight_long,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,D-AJFK,3c68cb,405,1728902.1458924487,4268.8941873887625,12450003.56134997,148708375.8716802,bulk_matched
457,A332,DHL,Germany,Active,2017-01-01,,,,,,,,0.0,Medium-haul,9070.0,9.2,Leipzig,kerosene_freight_medium,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,D-ALEJ,3c70aa,356,1050003.8335023802,2949.448970512304,7806611.535420722,93245637.78419197,fleet_median_fallback
458,B752,DHL,Germany,Active,2017-01-01,,,,,,,,0.0,Medium-haul,7222.0,9.2,Leipzig,kerosene_freight_medium,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,D-ALET,3c70b4,438,381582.35903537227,871.1926005373796,2590183.481848078,30938302.69985204,type_median_fallback
459,B752,DHL,Germany,Active,2017-01-01,,,,,,,,0.0,Medium-haul,7222.0,9.2,Leipzig,kerosene_freight_medium,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,D-ALEU,3c70b5,455,402400.7924278399,884.3973459952525,2723828.085167753,32534613.23950372,type_median_fallback
460,B77L,Lufthansa Cargo,Germany,Active,2022-01-01,,,,,,,,0.0,Long-haul,9070.0,3.8,Frankfurt,kerosene_freight_long,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,D-ALFA,3c70c1,157,987497.2341113988,6289.791300072603,11896376.825051883,142095612.07700863,type_median_fallback
461,B77L,Lufthansa Cargo,Germany,Active,2022-01-01,,,,,,,,0.0,Long-haul,9070.0,3.8,Frankfurt,kerosene_freight_long,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,D-ALFB,3c70c2,144,947932.8124935596,6582.866753427497,11343921.964249205,135496845.68408775,type_median_fallback
462,B77L,Lufthansa Cargo,Germany,Active,2014-02-01,United States,2014-02-01,2014-02-01,2.0,GE-Aviation,GE90,Cargo,0.0,Long-haul,9070.0,9.0,Frankfurt,kerosene_freight_long,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,D-ALFC,3c70c3,161,1063734.095488341,6607.044071356156,12698534.769351572,151676943.07836598,bulk_matched
463,B77L,Lufthansa Cargo,Germany,Active,2014-05-01,United States,2014-06-01,2014-06-01,2.0,GE-Aviation,GE90,Cargo,0.0,Long-haul,9070.0,8.7,Frankfurt,kerosene_freight_long,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,D-ALFD,3c70c4,180,1108022.8856454298,6155.682698030166,13387114.159707837,159901641.35206586,bulk_matched
464,B77L,Lufthansa Cargo,Germany,Active,2015-01-01,United States,2015-02-01,2015-02-01,2.0,GE-Aviation,GE90,Cargo,0.0,Long-haul,9070.0,8.0,Frankfurt,kerosene_freight_long,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,D-ALFE,3c70c5,188,1265460.9512549532,6731.1752726327295,15013508.9618651,179328023.7111665,bulk_matched
465,B77L,Lufthansa Cargo,Germany,Active,2019-02-01,United States,2019-02-01,2019-02-01,2.0,GE-Aviation,GE90,Cargo,0.0,Long-haul,9070.0,4.0,Frankfurt,kerosene_freight_long,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,D-ALFF,3c70c6,156,968963.2501448191,6211.302885543713,11731929.28471991,140131377.56748784,bulk_matched
466,B77L,Lufthansa Cargo,Germany,Active,2019-03-01,United States,2019-03-01,2019-03-01,2.0,GE-Aviation,GE90,Cargo,0.0,Long-haul,9070.0,3.8,Frankfurt,kerosene_freight_long,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,D-ALFG,3c70c7,179,1150780.4947234169,6428.941311304005,13873757.037418287,165714320.1691629,bulk_matched
467,B77L,Lufthansa Cargo,Germany,Active,2020-08-01,United States,2020-08-01,2020-08-01,2.0,GE-Aviation,GE90,Cargo,0.0,Long-haul,9070.0,2.4,Frankfurt,kerosene_freight_long,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,D-ALFH,3c70c8,161,1025482.551702828,6369.456842874708,12469681.670499863,148943419.95319283,bulk_matched
468,B77L,Lufthansa Cargo,Germany,Active,2020-09-01,United States,2020-09-01,2020-09-01,2.0,GE-Aviation,GE90,Cargo,0.0,Long-haul,9070.0,2.3,Frankfurt,kerosene_freight_long,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,D-ALFI,3c70c9,155,1041553.9083162196,6719.702634298192,12380190.9229509,147874502.69080243,bulk_matched
469,B77L,Lufthansa Cargo,Germany,Active,2022-01-01,,,,,,,,0.0,Long-haul,9070.0,3.8,Frankfurt,kerosene_freight_long,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,D-ALFJ,3c70ca,167,1063352.032593376,6367.377440678898,12696344.975893397,151650787.21206003,type_median_fallback
470,B77L,Lufthansa Cargo,Germany,Active,2022-01-01,,,,,,,,0.0,Long-haul,9070.0,3.8,Frankfurt,kerosene_freight_long,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,D-ALFK,3c70cb,180,1156653.8245350204,6425.854580750113,13967313.47704969,166831799.86476016,type_median_fallback
471,B77L,Lufthansa Cargo,Germany,Active,2024-01-01,,,,,,,,0.0,Long-haul,9070.0,2.0,Frankfurt,kerosene_freight_long,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,D-ALFL,3c70cc,173,1049265.9693812048,6065.121210295982,12625923.357427249,150809640.10260326,type_median_fallback
472,A332,DHL,Germany,Active,2017-01-01,,,,,,,,0.0,Medium-haul,9070.0,9.2,Leipzig,kerosene_freight_medium,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,D-ALMA,3c71a1,258,948402.099305678,3675.977129091775,6895007.3277730085,82357031.97062206,fleet_median_fallback
473,A332,DHL,Germany,Active,2017-01-01,,,,,,,,0.0,Medium-haul,9070.0,9.2,Leipzig,kerosene_freight_medium,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,D-ALMD,3c71a4,333,1001385.3863523232,3007.1633223793488,7427922.523595341,88722407.92072211,fleet_median_fallback
474,A333,DHL,Germany,Active,2012-01-01,,,,,,,,127.5,Long-haul,11750.0,14.0,Leipzig,kerosene_freight_long,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,D-ALMG,3c71a7,394,1651981.7540178627,4192.847091415895,11899838.054503158,142136954.5398988,type_median_fallback
542,A306,DHL,Germany,Active,1993-01-01,France,1993-06-01,2020-01-01,2.0,Pratt & Whitney,PW4000,Cargo,0.0,Long-haul,7500.0,30.0,Leipzig,kerosene_freight_medium,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,D-AZMK,3c1bab,114,89635.7849201084,786.2788150886702,484288.6839937861,5784559.281036889,bulk_matched
543,A306,DHL,Germany,Active,1996-01-01,,,,,,,,0.0,Medium-haul,7500.0,30.0,Leipzig,kerosene_freight_medium,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,D-AZML,3c1bac,463,450077.2462314829,972.0890847332244,2405572.9655129416,28733232.6436268,type_median_fallback
544,A306,DHL,Germany,Active,1993-01-01,,,,,,,,0.0,Medium-haul,7500.0,33.0,Leipzig,kerosene_freight_medium,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,D-AZMM,3c1bad,583,501436.8886211475,860.09757911003,2701585.5241423766,32268938.205033943,type_median_fallback
545,A306,DHL,Germany,Active,1993-01-01,,,,,,,,0.0,Medium-haul,7500.0,33.0,Leipzig,kerosene_freight_medium,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,D-AZMN,3c1bae,596,480383.092688087,806.0119004833675,2593308.605317082,30975630.56350959,type_median_fallback
546,A306,DHL,Germany,Active,1996-01-01,,,,,,,,0.0,Medium-haul,7500.0,30.0,Leipzig,kerosene_freight_medium,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,D-AZMO,3c1baf,477,394890.5389265232,827.8627650451219,2126799.45230625,25403437.902546875,type_median_fallback
547,A306,DHL,Germany,Active,1992-01-01,,,,,,,,0.0,Medium-haul,7500.0,34.0,Leipzig,kerosene_freight_medium,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,D-AZMP,3c1bb0,496,409608.1984591002,825.8229807643149,2210814.285286949,26406948.40759412,type_median_fallback
548,A306,DHL,Germany,Active,1990-01-01,,,,,,,,0.0,Medium-haul,7500.0,36.0,Leipzig,kerosene_freight_medium,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,D-AZMQ,3c1bb1,490,397930.7521437503,812.1035758035721,2148376.666009765,25661165.732894413,type_median_fallback
