ID,Vessel Type,Operator,Operator Country,Status,Build Date,Segment,Range (km),Age (Years),Main Hub,current_technology,operator_economic_weight,operator_environmental_weight,free_ets_allocation,peer_influence,investment_logic,decision_attitude,imo,real_name,data_source
96,General Cargo Ship,Sophie-B Schifffahrts GmbH & Co. KG,Germany,Active,1995.0,regional,12000,31.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9119622,SARAH-B,mrv_or_finaldata_verified
97,General Cargo Ship,GBS-Shipmanagement GmbH & Co. KG,Germany,Active,1986.0,regional,12000,40.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,8511029,SIMON B,mrv_or_finaldata_verified
98,General Cargo Ship,Karl Meyer & Prahm Reederei GmbH & Co. KG,Germany,Active,1994.0,regional,12000,32.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9100059,SELENE PRAHM,mrv_or_finaldata_verified
99,General Cargo Ship,GBS-Shipmanagement GmbH & Co. KG,Germany,Active,1990.0,regional,12000,36.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,8919221,ANTONIA B,mrv_or_finaldata_verified
100,General Cargo Ship,GBS-Shipmanagement GmbH & Co. KG,Germany,Active,1985.0,regional,12000,41.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,8505927,ANITA HAGEDORN,mrv_or_finaldata_verified
101,General Cargo Ship,Project-B GmbH & Co. KG,Germany,Active,1997,regional,12000,29.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9066045,LUNA-B,mrv_or_finaldata_verified
102,General Cargo Ship,COE 2 SEA Carrier GmbH & Co. KG,Germany,Active,1985.0,regional,12000,41.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,8513314,COE GISELA,mrv_or_finaldata_verified
103,General Cargo Ship,"MS ""Mieke"" Schiffahrts GmbH & Co. KG",Germany,Active,1997,regional,12000,29.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,8912481,COE MIEKE,mrv_or_finaldata_verified
104,General Cargo Ship,MS Mangen GmbH & Co. KG,Germany,Active,1997,regional,12000,29.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9923308,MANGEN,mrv_or_finaldata_verified
105,General Cargo Ship,M/S Unden GmbH & Co. KG,Germany,Active,1997,regional,12000,29.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9961910,UNDEN,mrv_or_finaldata_verified
106,General Cargo Ship,Karl Meyer Shipping International GmbH & Co. KG,Germany,Active,1997.0,regional,12000,29.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9142497,MS JUTLAND,mrv_or_finaldata_verified
107,General Cargo Ship,BAT Agrar GmbH & Co. KG,Germany,Active,1997,regional,12000,29.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9115896,KLARA,mrv_or_finaldata_verified
108,General Cargo Ship,GBS-Shipmanagement GmbH & Co. KG,Germany,Active,1997,regional,12000,29.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9137301,ERNST HAGEDORN,mrv_or_finaldata_verified
109,General Cargo Ship,MS Michael Braren GmbH & Co. KG,Germany,Active,2012.0,regional,12000,14.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9366160,UNILURIO,mrv_or_finaldata_verified
110,General Cargo Ship,MS St Pauli GmbH & Co. KG,Germany,Active,1997,regional,12000,29.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9166467,ST. PAULI 2,mrv_or_finaldata_verified
111,General Cargo Ship,Ute B GmbH & Co. KG,Germany,Active,1997,regional,12000,29.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9968255,NOREN,mrv_or_finaldata_verified
112,Oil Products Tanker,"TMS ""SEALING"" GmbH & Co KG",Germany,Active,2003.0,regional,14000,23.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9251652,SEALING,mrv_or_finaldata_verified
113,Oil Products Tanker,"TMS ""SEASHARK"" GmbH & CO. KG",Germany,Active,2004.0,regional,14000,22.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9298193,SEASHARK,mrv_or_finaldata_verified
114,Oil Products Tanker,"TMS ""SEATROUT"" GmbH & CO. KG",Germany,Active,2006.0,regional,14000,20.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9352303,SEATROUT,mrv_or_finaldata_verified
115,Oil Products Tanker,German Tanker Shipping GmbH,Germany,Active,2007.0,regional,14000,19.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9380489,SEAMARLIN,mrv_or_finaldata_verified
116,Oil Products Tanker,B.O.T. - Broering Oil Transport GmbH,Germany,Active,2003.0,regional,14000,23.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9280110,CAPELLA,mrv_or_finaldata_verified
117,Oil Products Tanker,Cuxhavener Mineraloel GmbH,Germany,Active,1965.0,regional,14000,61.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,6605694,ANITA,mrv_or_finaldata_verified
118,General Cargo Ship,EMS Shipmanagement GmbH & Co. KG,Germany,Active,1995.0,regional,12000,31.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9113599,MIA SOPHIE-B,mrv_or_finaldata_verified
119,General Cargo Ship,Karl Meyer Shipping International GmbH & Co. KG,Germany,Active,1995.0,regional,12000,31.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9117959,NEULAND,mrv_or_finaldata_verified
120,General Cargo Ship,Karl Meyer Shipping International GmbH & Co. KG,Germany,Active,1996.0,regional,12000,30.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9147459,ALAND,mrv_or_finaldata_verified
121,General Cargo Ship,Karl Meyer Shipping International GmbH & Co. KG,Germany,Active,2001.0,regional,12000,25.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9228930,SEELAND,mrv_or_finaldata_verified
122,General Cargo Ship,Karl Meyer Shipping International GmbH & Co. KG,Germany,Active,2012.0,regional,12000,14.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9411824,GOTLAND,mrv_or_finaldata_verified
123,General Cargo Ship,Briese Schiffahrts GmbH & Co. KG MS Ostermoor,Germany,Active,2008.0,regional,12000,18.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9433315,BBC SWITZERLAND,mrv_or_finaldata_verified
124,Oil Products Tanker,German Tanker Shipping GmbH,Germany,Active,2004.0,regional,14000,22.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9255490,SEARAY,mrv_or_finaldata_verified
125,Oil Products Tanker,German Tanker Shipping,Germany,Active,2003.0,regional,14000,23.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9255488,SEAHAKE,mrv_or_finaldata_verified
126,General Cargo Ship,Karl Meyer Reederei GmbH & Co,Germany,Active,1964.0,regional,12000,62.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,6417657,HELGOLAND,mrv_or_finaldata_verified
127,Heavy Load Carrier,SAL Fleetholding I UG (haftungsbeschrankt) & Co. KG,Germany,Active,2000.0,regional,16000,26.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9197478,WIEBKE,mrv_or_finaldata_verified
128,Heavy Load Carrier,SAL Shipping UG (haftungsbeschrankt) & Co. KG MS “TRINA”,Germany,Active,2008.0,regional,16000,18.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9376505,TRINA,mrv_or_finaldata_verified
129,Heavy Load Carrier,SAL Shipping UG (haftungsbeschrankt) & Co. KG MS “REGINE”,Germany,Active,2009.0,regional,16000,17.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9393242,REGINE,mrv_or_finaldata_verified
130,General Cargo Ship,Christian Isernhagen Reederei,Germany,Active,1955.0,regional,12000,71.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,5367685,BJORN M,mrv_or_finaldata_verified
131,General Cargo Ship,Christiansen J.,Germany,Active,1994.0,regional,12000,32.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9112454,CATJAN,mrv_or_finaldata_verified
