ID,Vessel Type,Operator,Operator Country,Status,Build Date,Segment,Range (km),Age (Years),Main Hub,current_technology,operator_economic_weight,operator_environmental_weight,free_ets_allocation,peer_influence,investment_logic,decision_attitude,imo,real_name,data_source
41,Container Ship,Vasi Moon Sg Co Ltd,Germany,Active,2000.0,regional,20000,26.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9216729,SHUI SPIRIT,mrv_or_finaldata_verified
42,Container Ship,"SG ""Hansa Bergen"" GmbH & Co KG",Germany,Active,1998.0,regional,20000,28.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9128477,M.V.HANSA BERGEN,mrv_or_finaldata_verified
43,Heavy Load Carrier,HLL Heavy Lift Svenja,Germany,Active,2010.0,regional,16000,16.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9458901,SVENJA,mrv_or_finaldata_verified
44,General Cargo Ship,E-Ship 1 GmbH & Co KG,Germany,Active,2010.0,regional,12000,16.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9417141,E SHIP 1,mrv_or_finaldata_verified
45,General Cargo Ship,HLL Heavy Lift + Load Project GmbH & Co KG,Germany,Active,2008.0,regional,12000,18.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9376490,ANNE-SOFIE,mrv_or_finaldata_verified
46,Container Ship,Rickmers,Germany,Active,1993.0,regional,20000,33.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9063976,MARIA RICKMERS,mrv_or_finaldata_verified
47,Container Ship,Vega Scorpio Schifffahrts,Germany,Active,2010.0,regional,20000,16.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9491599,MEDKON GEM,mrv_or_finaldata_verified
48,Container Ship,"ms ""Neubau 1179""",Germany,Active,1999.0,regional,20000,27.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9188518,CONTAINERSHIPS VI,mrv_or_finaldata_verified
49,Heavy Load Carrier,VestVind II GmbH & Co KG,Germany,Active,2020.0,regional,16000,6.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9870018,BOLDWIND,mrv_or_finaldata_verified
50,General Cargo Ship,Steingrund Schiffahrts GmbH,Germany,Active,2011.0,regional,12000,15.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9508419,BBC FUJI,mrv_or_finaldata_verified
51,General Cargo Ship,Norddeich Schiffahrts GmbH,Germany,Active,2011.0,regional,12000,15.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9508407,BBC EVEREST,mrv_or_finaldata_verified
52,Container Ship,H-P.Wegener,Germany,Active,1994.0,regional,20000,32.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9083043,NANTO,mrv_or_finaldata_verified
53,Container Ship,"Reederei Jurgen Ohle KG ms ""Hanni""",Germany,Active,1998.0,regional,20000,28.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9188506,HANNI,mrv_or_finaldata_verified
54,General Cargo Ship,"PR ms ""Heike Braren""",Germany,Active,1998.0,regional,12000,28.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9173317,CELLUS,mrv_or_finaldata_verified
55,General Cargo Ship,"PR ms ""Timbus""",Germany,Active,1999.0,regional,12000,27.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9198680,TIMBUS,mrv_or_finaldata_verified
56,Container Ship,"ms ""Dornbusch"" Jurgen Ohle KG",Germany,Active,1996.0,regional,20000,30.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9126211,DORNBUSCH,mrv_or_finaldata_verified
57,General Cargo Ship,R.Braren,Germany,Active,2007.0,regional,12000,19.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9347073,ELENE,mrv_or_finaldata_verified
58,General Cargo Ship,Annika Braren GmbH & Co KG,Germany,Active,2020.0,regional,12000,6.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9849148,ANNIKA BRAREN,mrv_or_finaldata_verified
59,General Cargo Ship,Karl Meyer Sg International GmbH & Co KG,Germany,Active,2001.0,regional,12000,25.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9195743,SVEALAND,mrv_or_finaldata_verified
60,General Cargo Ship,"Reederei Hammann & Prahm GmbH & Co KG ms ""Rebecca Hammann""",Germany,Active,1995.0,regional,12000,31.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9119634,JULIA-B,mrv_or_finaldata_verified
61,General Cargo Ship,Noest Sg BV,Germany,Active,1995.0,regional,12000,31.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9120102,PAULIN-B,mrv_or_finaldata_verified
62,General Cargo Ship,H.Thordsen,Germany,Active,1985.0,regional,12000,41.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,8504947,ILKA,mrv_or_finaldata_verified
63,Chemical/Oil Products Tanker,Hans Rinck GmbH & Co KG,Germany,Active,2012.0,regional,12000,14.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9628489,ANNIKA,mrv_or_finaldata_verified
64,General Cargo Ship,Marion K GmbH & Co KG,Germany,Active,1981.0,regional,12000,45.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,8026282,MARION K,mrv_or_finaldata_verified
65,General Cargo Ship,German Govt,Germany,Active,1976.0,regional,12000,50.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,7427518,RV POSEIDON,mrv_or_finaldata_verified
66,Chemical/Oil Products Tanker,"P/R tms ""Finja""",Germany,Active,2000.0,regional,12000,26.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9212345,FINJA,mrv_or_finaldata_verified
67,Oil Products Tanker,BOT Broering Oil Trans GmbH,Germany,Active,1982.0,regional,14000,44.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,8124503,SIRIUS,mrv_or_finaldata_verified
68,Oil Products Tanker,Harry Stalzus GmbH,Germany,Active,1960.0,regional,14000,66.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,5126512,TRAVETANK,mrv_or_finaldata_verified
69,Oil Products Tanker,Broring Feuerschutztechnik GmbH,Germany,Active,1966.0,regional,14000,60.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,6620149,TAURUS,mrv_or_finaldata_verified
70,Container Ship,Hapag-Lloyd AG,Germany,Active,2022.0,deepsea,20000,4.0,Hamburg,marine_diesel_deepsea,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9508902,RIO DE JANEIRO EXPRESS,mrv_or_finaldata_verified
71,Oil Products Tanker,"TMS "" Seacod"" GmbH & Co KG",Germany,Active,2006.0,regional,14000,20.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9352315,SEACOD,mrv_or_finaldata_verified
