technology_name,segment,primary_energy_carrier,secondary_energy_carrier,saf_pathway,drop_in_fuel,maximum_secondary_energy_share,lifetime_years,payback_interest_rate,capex_eur,maintenance_cost_share,depreciation_cost_share,kilometer_per_kwh,trip_days_per_year,fuel_capacity_kwh,trip_length_km,economy_seats,business_seats,first_class_seats,mtow,oew,primary_energy_emission_factor,secondary_energy_emission_factor,hydrocarbon_factor,carbon_monoxide_factor,nitrogen_oxide_factor,smoke_number_factor,payload_capacity_kg,technology_family,service_entry_year,minimum_airport_class,technology_notes,gross_tonnage,net_tonnage_share,max_tanker_size_tonnes,reported_emission_factor,carbondioxide_factor,sulphur_factor,minimum_port_class
marine_diesel_regional,regional,marine_diesel,none,none,0,0.00,28,0.08,52000000,0.05,0.10,0.11,280,980000,1800,0,0,0,0,0,0.73,0.00,320,270,0.052,0.0036,9500000,conventional,2010,,Current regional cargo vessel benchmark,18000,0.62,0,0.68,0.019621,0.0238625,B
biofuel_regional,regional,marine_diesel,biofuel,fame,1,0.45,28,0.08,56000000,0.05,0.10,0.11,280,980000,1800,0,0,0,0,0,0.73,0.20,210,185,0.039,0.0022,9500000,drop_in_biofuel,2025,,Regional cargo vessel with drop-in biofuel compatibility,18000,0.62,0,0.42,0.01014839,0.009563,B
ammonia_regional,regional,ammonia,none,none,0,0.00,26,0.07,74000000,0.05,0.09,0.14,275,860000,1650,0,0,0,0,0,0.10,0.00,55,32,0.010,0.00036,8200000,ammonia,2030,,Regional ammonia-fueled cargo vessel concept,16500,0.60,0,0.08,0.000135625,0.000878,A
marine_diesel_deepsea,deepsea,marine_diesel,none,none,0,0.00,30,0.08,138000000,0.05,0.10,0.08,295,3100000,9600,0,0,0,0,0,0.73,0.00,335,282,0.064,0.0048,42000000,conventional,2011,,Current deep-sea cargo vessel benchmark,76000,0.68,0,0.69,0.026899792,0.02865,C
biofuel_deepsea,deepsea,marine_diesel,biofuel,fame,1,0.45,30,0.08,148000000,0.05,0.10,0.08,295,3100000,9600,0,0,0,0,0,0.73,0.20,220,190,0.041,0.0031,42000000,drop_in_biofuel,2025,,Deep-sea cargo vessel with drop-in biofuel compatibility,76000,0.68,0,0.43,0.01014839,0.009563,C
ammonia_deepsea,deepsea,ammonia,none,none,0,0.00,27,0.07,196000000,0.05,0.09,0.10,288,2500000,8200,0,0,0,0,0,0.10,0.00,60,36,0.012,0.00040,36000000,ammonia,2031,,Deep-sea ammonia-fueled cargo vessel concept,68000,0.66,0,0.09,0.000135625,0.000878,B
